Emotions,
admiration,#8F00FF
amusement,#98FB98
anger,#F30000
annoyance,#997950
approval,#0018F9
caring,#FFA6C9
confusion,#5097A4
curiosity,#FF2400
desire,#FA8072
disgust,#800000
dissapointment,#828282
dissapproval,#000080
embarrassment,#C49102
excitement,#FC6600
fear,#50C878
gratitude,#89CFEF
grief,#702963
joy,#FFF200
love,#FF0090
nervousness,#FCF4A3
optimism,#3BB143
pride,#F9A602
realization,#D9DDDC
relief,#FFE5B4
remorse,#8F9779
sadness,#4B5320
surprise,#C7EA46
